FBgn;Function
FBgn0003076;PPP
FBgn0003076;PPP
FBgn0033377;PPP
FBgn0033377;PPP
FBgn0033969;PPP
FBgn0033969;PPP
FBgn0036030;PPP
FBgn0036030;PPP
FBgn0030596;PPP
FBgn0001112;PPP
FBgn0001112;PPP
FBgn0031428;PPP
FBgn0000064;PPP
FBgn0000064;PPP
FBgn0039425;PPP
FBgn0039425;PPP
FBgn0032820;PPP
FBgn0032820;PPP
FBgn0003071;PPP
FBgn0003071;PPP
FBgn0004087;1C metab
FBgn0004087;1C metab
FBgn0020385;1C metab
FBgn0020385;1C metab
FBgn0010222;1C metab
FBgn0010222;1C metab
FBgn0029823;1C metab
FBgn0029823;1C metab
FBgn0000053;1C metab
FBgn0000053;1C metab
FBgn0039241;1C metab
FBgn0039836;1C metab
FBgn0032287;1C metab
FBgn0024920;1C metab
FBgn0024920;1C metab
FBgn0032945;1C metab
FBgn0036157;1C metab
FBgn0085453;1C metab
FBgn0085453;1C metab
FBgn0001124;Ala asp glu
FBgn0001124;Ala asp glu
FBgn0001125;Ala asp glu
FBgn0001125;Ala asp glu
FBgn0033543;Ala asp glu
FBgn0033543;Ala asp glu
FBgn0030653;Ala asp glu
FBgn0270926;Ala asp glu
FBgn0270926;Ala asp glu
FBgn0037687;Ala asp glu
FBgn0030478;Ala asp glu
FBgn0030478;Ala asp glu
FBgn0014031;Ala asp glu
FBgn0014031;Ala asp glu
FBgn0037186;Ala asp glu
FBgn0026565;Ala asp glu
FBgn0026565;Ala asp glu
FBgn0032076;Ala asp glu
FBgn0032076;Ala asp glu
FBgn0027493;Ala asp glu
FBgn0027493;Ala asp glu
FBgn0038467;Ala asp glu
FBgn0038467;Ala asp glu
FBgn0004516;Ala asp glu
FBgn0004516;Ala asp glu
FBgn0036927;Ala asp glu
FBgn0036927;Ala asp glu
FBgn0039349;Ala asp glu
FBgn0039349;Ala asp glu
FBgn0036663;Ala asp glu
FBgn0039071;Ala asp glu
FBgn0039071;Ala asp glu
FBgn0001098;Ala asp glu
FBgn0001098;Ala asp glu
FBgn0037138;Ala asp glu
FBgn0037138;Ala asp glu
FBgn0036403;Ala asp glu
FBgn0001145;Ala asp glu
FBgn0001145;Ala asp glu
FBgn0001142;Ala asp glu
FBgn0001142;Ala asp glu
FBgn0003189;Ala asp glu
FBgn0003189;Ala asp glu
FBgn0261625;Ala asp glu
FBgn0261625;Ala asp glu
FBgn0039580;Ala asp glu
FBgn0039580;Ala asp glu
FBgn0287209;Ala asp glu
FBgn0287209;Ala asp glu
FBgn0041194;Ala asp glu
FBgn0041194;Ala asp glu
FBgn0004901;Ala asp glu
FBgn0004901;Ala asp glu
